                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 0.3836,                0.34622,                0.96758,                0.89929,                0.96297,                0.98074,                0.88862,                0.44806,                0.40196,                0.90213,              0.0009704,              0.0009704,              0.0009704
                     54,                0.39256,                0.36383,                 0.9666,                0.94526,                0.92157,                 0.9624,                0.87643,                0.46752,                0.46268,                0.91379,              0.0009506,              0.0009506,              0.0009506
                     55,                0.37872,                0.40936,                0.96579,                0.93937,                0.91133,                0.96446,                0.87489,                0.44878,                0.42069,                0.92711,              0.0009308,              0.0009308,              0.0009308
                     56,                0.40768,                0.36109,                0.97997,                0.94638,                0.90196,                0.97197,                0.87597,                0.48517,                0.44363,                0.96369,               0.000911,               0.000911,               0.000911
                     57,                0.37698,                0.33275,                0.96689,                0.95909,                0.91933,                0.97805,                0.89121,                0.45601,                0.41697,                0.92686,              0.0008912,              0.0008912,              0.0008912
                     58,                0.41138,                0.35526,                0.96688,                0.95931,                 0.9246,                0.97039,                0.85459,                0.51201,                0.45476,                0.97842,              0.0008714,              0.0008714,              0.0008714
                     59,                0.38395,                0.32558,                0.96313,                0.90699,                 0.9561,                0.96653,                0.86134,                  0.491,                0.50613,                0.95962,              0.0008516,              0.0008516,              0.0008516
                     60,                0.38094,                0.36059,                0.96233,                0.91501,                0.94118,                0.96784,                0.85736,                0.52013,                0.46785,                0.98107,              0.0008318,              0.0008318,              0.0008318
                     61,                0.38675,                0.35451,                0.97636,                0.92246,                0.93312,                0.96614,                0.88798,                0.46572,                0.41694,                0.92854,               0.000812,               0.000812,               0.000812
                     62,                 0.3748,                0.31451,                0.95321,                0.91874,                0.95098,                0.97459,                0.89702,                 0.4646,                 0.3702,                0.93093,              0.0007922,              0.0007922,              0.0007922
                     63,                0.39085,                0.36913,                0.97867,                0.93026,                0.91546,                0.97268,                0.89537,                0.43684,                0.39207,                0.91321,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.3463,                0.28945,                0.94462,                0.93705,                0.93137,                0.97861,                0.88812,                0.47964,                0.42954,                0.94251,              0.0007526,              0.0007526,              0.0007526
                     65,                   0.34,                0.32087,                0.95094,                 0.9237,                0.94954,                0.97013,                0.86515,                0.48227,                0.46441,                0.94383,              0.0007328,              0.0007328,              0.0007328
                     66,                0.34428,                0.30066,                0.95251,                0.92345,                0.94612,                0.96706,                0.87134,                0.47707,                0.44807,                0.92103,               0.000713,               0.000713,               0.000713
                     67,                0.35822,                0.32171,                0.93768,                0.94979,                0.92725,                0.98138,                0.90579,                0.43299,                0.40053,                0.89097,              0.0006932,              0.0006932,              0.0006932
                     68,                0.35788,                0.29648,                0.94992,                0.90629,                0.94821,                 0.9806,                0.91333,                0.42486,                 0.4436,                0.88726,              0.0006734,              0.0006734,              0.0006734
                     69,                0.37859,                0.31509,                0.95464,                0.93111,                0.90196,                0.96614,                0.90363,                0.40823,                0.47575,                0.87219,              0.0006536,              0.0006536,              0.0006536
                     70,                0.36942,                0.32866,                0.99431,                0.96689,                0.85879,                0.95963,                0.89532,                0.41211,                0.49766,                0.87312,              0.0006338,              0.0006338,              0.0006338
                     71,                0.34719,                0.30111,                0.94202,                0.95726,                0.88235,                0.96024,                0.89246,                0.41203,                0.46359,                0.86696,               0.000614,               0.000614,               0.000614
                     72,                0.35175,                0.30728,                0.94346,                0.98875,                0.86166,                0.95924,                0.88031,                0.43188,                0.43807,                0.88083,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.3681,                0.31662,                0.97643,                0.95947,                0.93137,                0.97029,                0.89098,                0.41497,                 0.4052,                0.87698,              0.0005744,              0.0005744,              0.0005744
                     74,                0.33842,                0.28392,                0.94871,                0.95759,                0.94118,                0.97711,                0.90708,                0.41373,                0.38766,                0.87632,              0.0005546,              0.0005546,              0.0005546
                     75,                0.31809,                0.26652,                0.93681,                0.97907,                0.91718,                0.96958,                0.89444,                0.43041,                0.41666,                0.89949,              0.0005348,              0.0005348,              0.0005348
                     76,                 0.3165,                0.27706,                0.93876,                0.95994,                0.93981,                0.97211,                0.88648,                0.43782,                0.40048,                0.90022,               0.000515,               0.000515,               0.000515
                     77,                0.31304,                0.27296,                0.92658,                0.95077,                0.94669,                0.97258,                0.89899,                0.41081,                0.38073,                0.87626,              0.0004952,              0.0004952,              0.0004952
